,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute,proportion_of_max_diameter_to_earth
83,0,101.054341542,225.9643771094,1995-01-18,1995-01-18 08:12:00,Earth,28.5824222435,102896.7200765568,An asteroid orbit contained entirely within the orbit of the Eart,3837639,(2019 AT3),1714.94533460928,1.7733823348720767e-05
84,0,506.4714588346,1132.5046106177,1995-01-18,1995-01-18 14:42:00,Earth,16.4888463368,59359.8468124886,An asteroid orbit contained entirely within the orbit of the Eart,3753133,(2016 JU24),989.3307802081432,8.887965865780099e-05
85,0,73.2073989347,163.696720474,1995-01-18,1995-01-18 02:30:00,Earth,26.2464317638,94487.1543496955,An asteroid orbit contained entirely within the orbit of the Eart,3837525,(2018 YK2),1574.7859058282584,1.2847019343431171e-05
86,0,127.2198785394,284.4722965033,1995-01-18,1995-01-18 05:14:00,Earth,11.9652284017,43074.8222459735,Near Earth asteroid orbits similar to that of 2062 Aten,3797900,(2018 BJ5),717.9137040995582,2.2325560861976142e-05
87,0,6.3760978988,14.2573883328,1995-01-18,1995-01-18 04:54:00,Earth,16.0531518159,57791.3465371435,Near Earth asteroid orbits similar to that of 1221 Amor,3704767,(2015 BE92),963.1891089523916,1.1189286087584367e-06
88,0,36.6906137531,82.0427064882,1995-01-18,1995-01-18 00:18:00,Earth,15.980210136,57528.7564894243,An asteroid orbit contained entirely within the orbit of the Eart,3797753,(2018 BV1),958.8126081570716,6.438762085088683e-06
89,0,69.9125232246,156.3291544087,1995-01-18,1995-01-18 09:17:00,Earth,8.8286222565,31783.0401233568,An asteroid orbit contained entirely within the orbit of the Eart,3836878,(2018 XP3),529.71733538928,1.2268808225451263e-05
90,0,80.2703167283,179.4898847799,1995-01-18,1995-01-18 10:33:00,Earth,13.299028136,47876.5012897044,An asteroid orbit contained entirely within the orbit of the Eart,3748182,(2016 FJ3),797.94168816174,1.408647659550306e-05
91,1,667.6594134952,1492.931834393,1995-01-19,1995-01-19 21:55:00,Earth,13.6305303871,49069.909393474,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2443103,443103 (2013 WT67),817.8318232245667,0.00011716620894624076
92,0,121.4940407996,271.6689340891,1995-01-19,1995-01-19 16:36:00,Earth,26.2349697378,94445.8910559763,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3283218,(2005 MF5),1574.0981842662718,2.1320745101954165e-05
93,0,40.2304579834,89.9580388169,1995-01-16,1995-01-16 14:33:00,Earth,18.6159784305,67017.5223496646,Near Earth asteroid orbits similar to that of 1221 Amor,3625335,(2013 BC70),1116.9587058277434,7.059962236454245e-06
94,1,242.4124811008,542.0507863358,1995-01-16,1995-01-16 06:35:00,Earth,15.9597865749,57455.2316697415,Near Earth asteroid orbits similar to that of 2062 Aten,2002340,2340 Hathor (1976 UA),957.5871944956916,4.254047922899074e-05
95,0,16.8249962697,37.6218353801,1995-01-16,1995-01-16 21:06:00,Earth,9.1421510542,32911.7437951207,An asteroid orbit contained entirely within the orbit of the Eart,54016993,(2020 JG1),548.5290632520117,2.952584788894993e-06
96,0,40.2304579834,89.9580388169,1995-01-17,1995-01-17 02:46:00,Earth,12.9913363165,46768.8107394954,Near Earth asteroid orbits similar to that of 1221 Amor,3102762,(2002 AA29),779.4801789915899,7.059962236454245e-06
97,0,19.2555078188,43.0566244241,1995-01-17,1995-01-17 15:08:00,Earth,17.2344315811,62043.9536918491,Near Earth asteroid orbits similar to that of 1221 Amor,3956448,(2019 YP3),1034.0658948641517,3.379110377028724e-06
98,0,483.6764882185,1081.533506775,1995-01-21,1995-01-21 07:55:00,Earth,14.0998903803,50759.6053691574,Near Earth asteroid orbits similar to that of 1221 Amor,2373579,373579 (2002 AW11),845.99342281929,8.487941506631613e-05
99,0,36.6906137531,82.0427064882,1995-01-21,1995-01-21 02:21:00,Earth,7.532718152,27117.7853473052,Near Earth asteroid orbits similar to that of 1221 Amor,3843085,(2019 NG),451.9630891217533,6.438762085088683e-06
100,0,319.5618867213,714.5621017269,1995-01-22,1995-01-22 07:32:00,Earth,16.8844014801,60783.8453284741,An asteroid orbit contained entirely within the orbit of the Eart,3788091,(2017 UR7),1013.0640888079016,5.60792734050306e-05
101,1,221.0828103591,494.3561926196,1995-01-22,1995-01-22 05:14:00,Earth,11.6741465305,42026.9275099544,Near Earth asteroid orbits similar to that of 1221 Amor,3794988,(2017 YZ1),700.4487918325734,3.8797378168231045e-05
102,0,319.5618867213,714.5621017269,1995-01-22,1995-01-22 15:17:00,Earth,24.4218373587,87918.6144913344,Near Earth asteroid orbits similar to that of 1221 Amor,2153315,153315 (2001 NH6),1465.31024152224,5.60792734050306e-05
103,0,766.5755735311,1714.1150923063,1995-01-22,1995-01-22 13:06:00,Earth,17.3737842613,62545.6233405623,Near Earth asteroid orbits similar to that of 1221 Amor,2162463,162463 (2000 JH5),1042.4270556760382,0.00013452480711868625
104,0,88.0146520901,196.8067450894,1995-01-22,1995-01-22 12:17:00,Earth,22.3739049599,80546.0578557412,Near Earth asteroid orbits similar to that of 2062 Aten,3444370,(2009 BH2),1342.4342975956863,1.544551444744938e-05
105,0,18.388867207,41.1187571041,1995-01-22,1995-01-22 06:33:00,Earth,17.2746114639,62188.6012700346,Near Earth asteroid orbits similar to that of 2062 Aten,3448992,(2009 DD45),1036.47668783391,3.22702535740857e-06
106,0,26.58,59.4346868419,1995-01-22,1995-01-22 14:04:00,Earth,12.1185099373,43626.6357742159,An asteroid orbit contained entirely within the orbit of the Eart,3611400,(2012 UC),727.1105962369317,4.664470792803328e-06
107,0,42.1264610556,94.1976305719,1995-01-20,1995-01-20 09:54:00,Earth,10.4078371003,37468.2135612528,An asteroid orbit contained entirely within the orbit of the Eart,3264189,(2004 YD),624.47022602088,7.392688005956679e-06
108,0,53.0340723319,118.5877908577,1995-01-20,1995-01-20 12:48:00,Earth,15.259069392,54932.6498111989,Near Earth asteroid orbits similar to that of 1221 Amor,3740496,(2016 AG193),915.5441635199816,9.306842792159787e-06
109,0,44.1118199997,98.6370281305,1995-01-20,1995-01-20 12:44:00,Earth,7.5241225943,27086.8413394526,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3702918,(2014 YC9),451.4473556575433,7.741094657863757e-06
110,0,80.2703167283,179.4898847799,1995-01-29,1995-01-29 04:02:00,Earth,14.8737367384,53545.4522582771,Near Earth asteroid orbits similar to that of 2062 Aten,3092134,(1995 BK2),892.4242043046183,1.408647659550306e-05
111,1,1160.2590820944,2594.4181790745,1995-01-29,1995-01-29 11:20:00,Earth,26.152266264,94148.1585503345,Near Earth asteroid orbits similar to that of 1221 Amor,2103067,103067 (1999 XA143),1569.1359758389085,0.00020361153500820123
